PostDate,Industry,CountIdIndexed
18-04-2020,Construction,0.6233
18-04-2020,Energy,0.4908
18-04-2020,Entertainment,0.3748
18-04-2020,Financial Services,0.6538
18-04-2020,Healthcare,0.6103
18-04-2020,Hospitality,0.1799
18-04-2020,Insurance,0.6625
18-04-2020,Manufacturing,0.5005
18-04-2020,Mining,0.4603
18-04-2020,Real Estate,0.5962
18-04-2020,Retail,0.5629
18-04-2020,Services,0.6713
18-04-2020,Transportation,0.7045
18-04-2020,Wholesale,0.6431
19-04-2020,Unknown,0.5821
19-04-2020,Communication,0.5202
19-04-2020,Construction,0.5947
19-04-2020,Energy,0.4803
19-04-2020,Entertainment,0.3571
19-04-2020,Financial Services,0.6515
19-04-2020,Healthcare,0.5812
19-04-2020,Hospitality,0.17
19-04-2020,Insurance,0.6626
19-04-2020,Manufacturing,0.4847
19-04-2020,Mining,0.4356
19-04-2020,Real Estate,0.5782
19-04-2020,Retail,0.5305
19-04-2020,Services,0.6517
19-04-2020,Transportation,0.6446
19-04-2020,Wholesale,0.6154
20-04-2020,Unknown,0.5776
20-04-2020,Communication,0.5424
20-04-2020,Construction,0.5979
20-04-2020,Energy,0.4841
20-04-2020,Entertainment,0.3419
20-04-2020,Financial Services,0.7497
20-04-2020,Healthcare,0.5626
20-04-2020,Hospitality,0.175
20-04-2020,Insurance,0.6654
20-04-2020,Manufacturing,0.4791
20-04-2020,Mining,0.443
20-04-2020,Real Estate,0.5772
20-04-2020,Retail,0.5117
20-04-2020,Services,0.6386
20-04-2020,Transportation,0.6275
20-04-2020,Wholesale,0.6162
21-04-2020,Unknown,0.5765
21-04-2020,Communication,0.5301
21-04-2020,Construction,0.603
21-04-2020,Energy,0.4942
21-04-2020,Entertainment,0.3421
